name,latitude,longitude
MT10.pt1,-8.4355,116.5345
MT11.pt1,-8.4293,116.54
MT12.pt1,-8.4295,116.5426
MT13.pt1,-8.4396,116.5327
MT14.pt1,-8.4362,116.5254
MT15.pt1,-8.4165,116.5342
MT17.pt1,-8.4089,116.5061
MT18.pt1,-8.4132,116.5069
MT19.pt1,-8.4163,116.5039
MT20.pt1,-8.4195,116.5001
MT21.pt1,-8.4221,116.4964
MT22.pt1,-8.4204,116.4916
MT23.pt1,-8.4426,116.507
MT24.pt1,-8.4247,116.4926
MT25.pt1,-8.426,116.4909
MT26.pt1,-8.4315,116.5174
MT27.pt1,-8.4201,116.4998
MT28.pt1,-8.4291,116.5014
MT29.pt1,-8.4336,116.5011
MT30.pt1,-8.4369,116.5008
MT31.pt1,-8.4164,116.5075
MT32.pt1,-8.4211,116.5069
MT33.pt1,-8.428,116.5066
MT34.pt1,-8.4338,116.5065
MT35.pt1,-8.439,116.5067
MT36.pt1,-8.4202,116.5118
MT37.pt1,-8.4247,116.5118
MT38.pt1,-8.43,116.512
